INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	VALUE_CATEGORY	VALUE_CATEGORY_DESC	COMMENT_OBS	SOURCE_YEAR
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	364	Iran (Islamic Republic of)	IRN	54.19766348	32.74370885	Central and Southern Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	840	United States of America	USA	-99.13830311	39.5277871	Europe and Northern America	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	520	Nauru	NRU	166.92313	-0.528742623	Oceania, exc. Australia and New Zealand	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	585	Palau	PLW	134.5733878	7.502307591	Oceania, exc. Australia and New Zealand	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	776	Tonga	TON	-175.1959991	-21.19511329	Oceania, exc. Australia and New Zealand	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	706	Somalia	SOM	46.20367477	4.406485729	Sub-Saharan Africa	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	729	Sudan	SDN	29.95650159	16.02643066	Northern Africa and Western Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	275	State of Palestine	PSE	35.25694122	31.94347933	Northern Africa and Western Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	344	China, Hong Kong Special Administrative Region	HKG	114.0266445	22.41749934	Eastern and South-Eastern Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	36	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	372	Ireland	IRL	-7.121425272	53.25274054	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	470	Malta	MLT	14.44617519	35.89194275	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	826	United Kingdom of Great Britain and Northern Ireland	GBR	-2.23830539	53.27691757	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	583	Micronesia (Federated States of)	FSM	158.225216	6.880670092	Oceania, exc. Australia and New Zealand	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	103	Reservations to CEDAW - Equality in employment	702	Singapore	SGP	103.8107883	1.361009155	Eastern and South-Eastern Asia	7	Reservation		2017
